"","X","ï..FIPS","State","County","PCT_LACCESS_POP15","GROCPTH14","SNAPSPTH16","FFRPTH14","FSRPTH14","PCT_SNAP16","METRO13","MEDHHINC15","POVRATE15","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS13","X2010.Census.Population","POV_QUARTILE"
"132",2382,46041,"SD","Dewey",38.39034001,0.353232073,0.870776733,0,0.176616037,11.06436622,0,38337,24.7,15.6,39.9,5301,1
"133",1455,28107,"MS","Panola",20.31278904,0.116130531,1.25863482,0.580652654,0.43548949,18.56717545,0,35517,24.8,14.5,36,34707,1
"134",858,19137,"IA","Montgomery",20.00175521,0.287880242,1.116544417,0.575760484,1.055560887,12.08335234,0,43210,13.4,10.5,37.6,10740,1
"135",1212,24039,"MD","Somerset",22.74041908,0.193356278,0.781008948,0.425383812,0.309370045,12.14795044,1,38692,25.8,13.7,42.2,26470,1
"136",2227,41037,"OR","Lake",43.62455616,0.127583567,1.48866488,0.765501403,1.913753509,17.72200324,0,39878,18.6,11.5,28,7895,1
"137",2067,39047,"OH","Fayette",3.089608182,0.243055556,1.095573534,1.111111111,0.590277778,13.7918164,0,45068,16.3,13,33.4,29030,1
"138",2457,47057,"TN","Grainger",0,0.174947516,1.202756588,0.174947516,0.262421274,16.30435077,1,38103,18.7,14.4,35,22657,1
"139",3023,54059,"WV","Mingo",5.176927295,0.194431482,1.024465452,0.233317779,0.583294447,19.421201,0,31742,29,13.2,40.3,96189,1
"140",2733,48419,"TX","Shelby",13.9966767,0.195963159,0.84053325,0.391926318,0.548696845,13.51433657,0,41519,19.8,11.7,31.2,25448,1
"141",611,17031,"IL","Cook",7.194721403,0.284573053,0.667035137,0.835039882,0.726776323,14.36481192,1,56841,16.2,8.5,25.3,5194675,1
"142",840,19101,"IA","Jefferson",12.2667167,0.115440115,0.6863829,0.634920635,1.038961039,12.08335234,0,43495,15.3,10.6,27.5,16843,1
"143",47,1093,"AL","Marion",6.269273851,0.099104754,0.880614263,0.561593604,0.660698358,16.97643575,0,34977,19.8,18.7,35.5,30776,1
"144",795,19011,"IA","Benton",13.67411113,0.11682243,0.632320324,0.23364486,0.46728972,12.08335234,1,65127,8.3,10,34.4,26076,1
"145",1687,31065,"NE","Furnas",21.7974594,0.818330606,1.25339461,0.409165303,0.818330606,9.12645062,0,40032,13.4,12.8,33.9,4959,1
"146",879,19179,"IA","Wapello",44.21464447,0.170396456,1.031482858,0.653186414,0.624787004,12.08335234,0,44738,16,12.8,35.6,35625,1
"147",2176,40089,"OK","McCurtain",16.61634489,0.272314675,1.599536896,0.453857791,0.453857791,15.51297406,0,31723,25.3,14,35.3,33151,1
"148",1312,26161,"MI","Washtenaw",23.3053037,0.176532894,0.630182785,0.753767436,0.815413844,14.74092241,1,62401,14.2,7.6,24.4,344791,1
"149",1284,26105,"MI","Mason",6.333576318,0.138773245,1.044696865,0.659172911,1.075492645,14.74092241,0,43620,16.8,11.3,29.9,28705,1
"150",899,20021,"KS","Cherokee",12.40415851,0.19242796,0.839672034,0.529176889,0.721604849,8.597012543,0,39842,18,12.2,37,21603,1
"151",2101,39115,"OH","Morgan",6.282881354,0.13474365,0.720525984,0.13474365,0.404230951,13.7918164,0,39969,19,14.8,36.7,15054,1
